brand,model,color,registration_date,year,price,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
audi,Audi e-tron,red,11/2020,2020,62990,300.0,408,Automatic,Electric,430 km (Ort),391.0,7924.0,55 adv.+S-line quattro PANO/B&O/MATRIX/20
audi,Audi A6,black,09/2020,2020,30990,220.0,299,Automatic,Hybrid,50 km (Ort),46.0,22767.0,50 TFSI e quattro Plug-in-HYBRID+VIRTUAL+LED+ACC
audi,Audi Q4 e-tron,blue,03/2022,2022,47699,125.0,170,Automatic,Electric,455 km (Ort),327.0,9950.0,Sportback 35 E-TRON MATRIX-LED*ASSISTENZ-PAKET*NAV
audi,Audi Q4 e-tron,blue,03/2022,2022,47499,125.0,170,Automatic,Electric,455 km (Ort),327.0,9950.0,Sportback 35 E-TRON MATRIX-LED*ASSISTENZ-PAKET*NAV
audi,Audi Q4 e-tron,black,10/2022,2022,58850,220.0,299,Automatic,Electric,599 km (Ort),484.0,7550.0,"Q4 Sportback 50 e-tron quattro*2xS-line,21"",ACC*"
bmw,BMW i3,grey,01/2014,2014,13990,125.0,170,Automatic,Electric,110 km (Ort),100.0,116150.0,i3 (60 Ah) Range Extender TÜV NEU
bmw,BMW i3,black,10/2018,2018,19990,125.0,170,Automatic,Electric,346 km (Ort),247.0,52930.0,.94Ah RFK Navi Prof. Tempomat Parkassistent
bmw,BMW i3,white,12/2018,2018,21490,125.0,170,Automatic,Electric,420 km (Ort),304.0,27326.0,120Ah WLAN GSD RFK Navi Prof. Tempomat Shz
bmw,BMW i3,white,12/2018,2018,25470,125.0,170,Automatic,Electric,423 km (Ort),303.0,28622.0,1.HAND | UNFALLFREI | NAVI |
bmw,BMW i3,beige,05/2019,2019,28500,135.0,184,Automatic,Electric,392 km (Ort),279.0,22600.0,s 120 Ah DAB LED WLAN GSD RFK Navi Prof.
bmw,BMW i3,blue,12/2019,2019,44650,135.0,184,Automatic,Electric,392 km (Ort),279.0,43507.0,s 120 Ah HK HiFi DAB LED WLAN GSD RFK Shz PDC
bmw,BMW i3,grey,10/2019,2019,24480,125.0,170,Automatic,Electric,423 km (Ort),306.0,9793.0,120Ah RFK Navi Prof. Komfortzg. Shz PDC
bmw,BMW i3,grey,02/2019,2019,27900,135.0,184,Automatic,Electric,395 km (Ort),280.0,35929.0,s 120 Ah HK HiFi LED WLAN RFK Navi Prof. Shz
bmw,BMW i3,red,09/2019,2019,30990,135.0,184,Automatic,Electric,402 km (Ort),283.0,18941.0,s 120 Ah LED WLAN Navi Prof. Komfortzg. Shz
bmw,BMW i3,black,12/2019,2019,25190,135.0,184,Automatic,Electric,399 km (Ort),282.0,33935.0,s 120 Ah DAB RFK Navi Prof. Tempomat Shz PDC
bmw,BMW i3,black,03/2019,2019,25900,125.0,170,Automatic,Electric,410 km (Ort),288.0,23800.0,120Ah Sportpaket WLAN Navi Prof. Tempomat
bmw,BMW i3,black,02/2019,2019,27980,135.0,184,Automatic,Electric,403 km (Ort),283.0,16044.0,"i3s (120 Ah)*NaviProf*DrivingAssistantPlus*20""Alu*"
bmw,BMW i3,black,06/2019,2019,24880,125.0,170,Automatic,Electric,424 km (Ort),307.0,19138.0,(120 Ah)*NavigationProfessional*WirelessCharging*
bmw,BMW i3,white,07/2019,2019,27880,135.0,184,Automatic,Electric,399 km (Ort),282.0,31678.0,i3s (120 Ah)*NaviProf*DAB*DrivingAssistant+*CCS*
bmw,BMW i3,white,09/2019,2019,29690,125.0,170,Automatic,Electric,420 km (Ort),303.0,16299.0,120Ah WLAN Navi Prof. Tempomat Klimaaut. Shz
bmw,BMW i3,beige,07/2020,2020,29190,135.0,184,Automatic,Electric,400 km (Ort),282.0,250.0,s 120 Ah DAB LED WLAN Navi Prof. Tempomat Shz
bmw,BMW i3,blue,10/2020,2020,28140,135.0,184,Automatic,Electric,393 km (Ort),280.0,36583.0,s 120 Ah () DAB WLAN GSD RFK Navi Prof. Shz
bmw,BMW i3,blue,01/2020,2020,27897,125.0,170,Automatic,Electric,416 km (Ort),300.0,29200.0,120Ah Navi-Pro/Glasdach/Driving+/Parken/Ad.LED
bmw,BMW i3,red,05/2020,2020,28896,135.0,184,Automatic,Electric,398 km (Ort),281.0,16782.0,s 120 Ah Navi-Pro/Driving+/Ad.LED/Kamera/PDC
bmw,BMW i3,red,01/2020,2020,25980,75.0,102,Automatic,Electric,393 km (Ort),284.0,33873.0,"s 120 Ah  LED GSD KAMERA NAVI PROF. ALU 20"""
bmw,BMW i3,black,06/2020,2020,56990,135.0,184,Automatic,Electric,399 km (Ort),282.0,53060.0,s Navi Prof.*PDC*Comfortpaket*Sitzheizung
bmw,BMW i3,black,10/2020,2020,28990,135.0,184,Automatic,Electric,363 km (Ort),283.0,9150.0,s Wärmep ACC Adaptive LED Navi Prof. Sitzh.
bmw,BMW i3,white,02/2020,2020,27480,135.0,184,Automatic,Electric,395 km (Ort),280.0,16400.0,s 120 Ah DAB WLAN GSD RFK Navi Prof. Tempomat
bmw,BMW i3,white,04/2020,2020,23890,75.0,102,Automatic,Electric,421 km (Ort),308.0,4353.0,"120Ah WLAN NAVI PROF. GRA PDC ALU 19"""
